Filing.Date	Trade.Date	Ticker	Company Name	Insider.Name	Title	Trade.Type	Price	Qty	Owned	ΔOwn	Value	totalValue	Filing.Time	DaysToFile
2025-01-08	2024-12-31	SGA	Saga Communications Inc	Gate City Capital Management, LLC	10%	P - Purchase	11.25	240609	863,845	+39%	+$2,706,755	2706851.25	11:19:45	8
2025-01-03	2024-12-31	VRSN	Verisign Inc/Ca	Berkshire Hathaway Inc	10%	P - Purchase	204.71	20044	13,289,880	0%	+$4,103,142	4103207.24	20:27:23	3
2025-01-03	2024-12-31	WHLM	Wilhelmina International, Inc.	Lichtenstein Warren G	See Explanation of Responses, 10%	P - Purchase	3.55	333444	983,773	+51%	+$1,182,159	1183726.2	20:03:31	3
2025-01-03	2024-12-31	SSII	Ss Innovations International, Inc.	Moll Frederic H	Dir	P - Purchase	1.37	2186589	6,415,589	+52%	+$3,000,000	2995626.93	17:00:14	3
2025-01-02	2024-12-30	FUND	Sprott Focus Trust Inc.	George W Whitney	Senior Portfolio Manager, 10%	P - Purchase	7.27	323896	13,392,846	+2%	+$2,354,724	2354723.92	20:09:05	3
2025-01-02	2024-12-30	ANAB	Anaptysbio, Inc	Ecor1 Capital, LLC	Dir, 10%	P - Purchase	12.92	85098	7,880,094	+1%	+$1,099,642	1099466.16	18:17:02	3
2025-01-02	2024-12-30	ZYME	Zymeworks Inc.	Ecor1 Capital, LLC	Dir, 10%	P - Purchase	14.64	363369	15,185,959	+2%	+$5,321,176	5319722.16	17:51:58	3
2025-01-02	2024-12-30	GRTX	Galera Therapeutics, Inc.	Chang Nancy T	Dir, 10%	P - Purchase	0.07	7644932	7,644,932	New	+$499,979	535145.24	16:12:36	3
2025-01-02	2024-12-31	MEGI	Nyli Cbre Global Infrastructure Megatrends Term Fund	Saba Capital Management, L.P.	10%	P - Purchase	12.16	45553	5,775,813	+1%	+$553,924	553924.48	13:28:15	2
2025-01-02	2024-12-31	BIGZ	Blackrock Innovation & Growth Term Trust	Saba Capital Management, L.P.	10%	P - Purchase	7.49	108299	60,156,126	0%	+$811,160	811159.51	13:21:18	2
2024-12-31	2024-12-27	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	6.85	174699	11,227,208	+2%	+$1,197,221	1196688.15	17:38:00	4
