Filing.Date	Trade.Date	Ticker	Company Name	Insider.Name	Title	Trade.Type	Price	Qty	Owned	ΔOwn	Value	totalValue	Filing.Time	DaysToFile	0d_volume	0d_high	0d_low	0d_open	0d_close	1d_volume	1d_high	1d_low	1d_open	1d_close	2d_volume	2d_high	2d_low	2d_open	2d_close	3d_volume	3d_high	3d_low	3d_open	3d_close	4d_volume	4d_high	4d_low	4d_open	4d_close	5d_volume	5d_high	5d_low	5d_open	5d_close	6d_volume	6d_high	6d_low	6d_open	6d_close	7d_volume	7d_high	7d_low	7d_open	7d_close	8d_volume	8d_high	8d_low	8d_open	8d_close	9d_volume	9d_high	9d_low	9d_open	9d_close	10d_volume	10d_high	10d_low	10d_open	10d_close	11d_volume	11d_high	11d_low	11d_open	11d_close	12d_volume	12d_high	12d_low	12d_open	12d_close	13d_volume	13d_high	13d_low	13d_open	13d_close	14d_volume	14d_high	14d_low	14d_open	14d_close	15d_volume	15d_high	15d_low	15d_open	15d_close	16d_volume	16d_high	16d_low	16d_open	16d_close	17d_volume	17d_high	17d_low	17d_open	17d_close	18d_volume	18d_high	18d_low	18d_open	18d_close	19d_volume	19d_high	19d_low	19d_open	19d_close	20d_volume	20d_high	20d_low	20d_open	20d_close	21d_volume	21d_high	21d_low	21d_open	21d_close	22d_volume	22d_high	22d_low	22d_open	22d_close	23d_volume	23d_high	23d_low	23d_open	23d_close	24d_volume	24d_high	24d_low	24d_open	24d_close	25d_volume	25d_high	25d_low	25d_open	25d_close	26d_volume	26d_high	26d_low	26d_open	26d_close	27d_volume	27d_high	27d_low	27d_open	27d_close	28d_volume	28d_high	28d_low	28d_open	28d_close	29d_volume	29d_high	29d_low	29d_open	29d_close	30d_volume	30d_high	30d_low	30d_open	30d_close	31d_volume	31d_high	31d_low	31d_open	31d_close	32d_volume	32d_high	32d_low	32d_open	32d_close	33d_volume	33d_high	33d_low	33d_open	33d_close	34d_volume	34d_high	34d_low	34d_open	34d_close	35d_volume	35d_high	35d_low	35d_open	35d_close	36d_volume	36d_high	36d_low	36d_open	36d_close	37d_volume	37d_high	37d_low	37d_open	37d_close	38d_volume	38d_high	38d_low	38d_open	38d_close	39d_volume	39d_high	39d_low	39d_open	39d_close	40d_volume	40d_high	40d_low	40d_open	40d_close	41d_volume	41d_high	41d_low	41d_open	41d_close	42d_volume	42d_high	42d_low	42d_open	42d_close	43d_volume	43d_high	43d_low	43d_open	43d_close	44d_volume	44d_high	44d_low	44d_open	44d_close	45d_volume	45d_high	45d_low	45d_open	45d_close	46d_volume	46d_high	46d_low	46d_open	46d_close	47d_volume	47d_high	47d_low	47d_open	47d_close	48d_volume	48d_high	48d_low	48d_open	48d_close
2024-12-23	2024-12-19	RMBL	Rumbleon, Inc.	Cohen Mark Alexander	Member of 10% Group	P - Purchase	4.18	349333	7,104,346	+5%	+$1,460,212	1460211.94	18:00:03	4																																																																																																																																																																																																																																																					
2024-12-17	2024-12-12	PLES	Pulse Biosciences, Inc.	Duggan Robert W	Dir, 10%	P - Purchase	17.13	45404	43,235,427	0%	+$777,771	777770.52	06:05:11	5																																																																																																																																																																																																																																																					
2024-12-16	2024-12-12	FREY	Freyr Battery, Inc. /De/	Calio Joseph Evan	CFO	P - Purchase	1.64	549862	680,462	+421%	+$903,276	901773.68	17:50:05	4																																																																																																																																																																																																																																																					
2024-12-06	2024-12-04	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	17.61	45465	1,967,098	+2%	+$800,863	800638.65	18:10:34	2																																																																																																																																																																																																																																																					
2024-12-05	2024-12-03	PMD	Psychemedics Corp	Kamin Peter	Dir, 10%	P - Purchase	2.35	1409712	2,057,449	+218%	+$3,312,823	3312823.2	18:05:08	2																																																																																																																																																																																																																																																					
2024-11-29	2024-11-26	OCTIX	Octagon Xai Clo Income Fund	Octagon Credit Investors, LLC	Sub-Adviser	P - Purchase	25.23	89180	89,180	New	+$2,250,000	2250011.4	09:45:45	3																																																																																																																																																																																																																																																					
2024-11-26	2024-11-22	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	17.69	30478	1,919,726	+2%	+$539,210	539155.82	16:57:19	4																																																																																																																																																																																																																																																					
2024-11-21	2024-11-19	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	16.12	76523	1,889,248	+4%	+$1,233,549	1233550.76	18:11:33	2																																																																																																																																																																																																																																																					
2024-11-21	2024-11-19	SUAC	Shoulderup Technology Acquisition Corp.	Polar Asset Management Partners Inc.	10%	P - Purchase	10.71	1e+05	500,000	+25%	+$1,071,000	1071000	11:48:08	2																																																																																																																																																																																																																																																					
2024-11-19	2024-11-15	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	6.66	1152920	21,368,984	+6%	+$7,680,421	7678447.2	18:41:53	4																																																																																																																																																																																																																																																					
2024-11-19	2024-11-15	LAZY	Lazydays Holdings, Inc.	Coliseum Capital Management, LLC	10%	P - Purchase	1.03	14563106	97,578,513	+18%	+$14,999,999	14999999.18	17:46:28	4																																																																																																																																																																																																																																																					
2024-11-19	2024-11-15	ZI	Zoominfo Technologies Inc.	Schuck Henry	CEO	P - Purchase	10.25	492500	18,321,210	+3%	+$5,049,750	5048125	16:18:29	4																																																																																																																																																																																																																																																					
2024-11-14	2024-11-12	QTI	Qt Imaging Holdings, Inc.	Katz Avi S	COB	P - Purchase	0.58	3142122	3,329,192	>999%	+$1,834,999	1822430.76	21:03:30	2																																																																																																																																																																																																																																																					
2024-11-13	2024-11-08	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	7.08	1209382	20,216,064	+6%	+$8,556,664	8562424.56	18:45:26	5																																																																																																																																																																																																																																																					
2024-11-12	2024-11-07	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	17.13	58191	1,812,725	+3%	+$997,053	996811.83	18:08:04	5																																																																																																																																																																																																																																																					
2024-11-06	2024-11-04	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	16.16	32917	1,754,534	+2%	+$532,030	531938.72	17:38:31	2																																																																																																																																																																																																																																																					
2024-11-04	2024-11-04	NWTOU	Newbury Street II Acquisition Corp	Newbury Street II Acquisition Sponsor LLC	10%	P - Purchase	10	484500	484,500	New	+$4,845,000	4845000	18:31:32	0																																																																																																																																																																																																																																																					
2024-11-01	2024-10-30	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	16	139515	1,721,617	+9%	+$2,232,375	2232240	18:16:50	2																																																																																																																																																																																																																																																					
2024-10-29	2024-10-25	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	15.37	82264	1,582,102	+5%	+$1,264,636	1264397.68	16:36:56	4																																																																																																																																																																																																																																																					
2024-10-28	2024-10-24	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	6.73	467213	5,156,337	+10%	+$3,142,515	3144343.49	18:59:56	4																																																																																																																																																																																																																																																					
2024-10-28	2024-10-27	BYON	Beyond, Inc.	Lemonis Marcus	Exec COB	P - Purchase	6.37	156985	365,530	+75%	+$999,994	999994.45	06:46:24	1																																																																																																																																																																																																																																																					
2024-10-25	2024-10-23	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	14.23	75548	1,499,838	+5%	+$1,074,720	1075048.04	16:36:22	2																																																																																																																																																																																																																																																					
2024-10-23	2024-10-21	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	6.73	646080	4,689,124	+16%	+$4,347,082	4348118.4	17:13:58	2																																																																																																																																																																																																																																																					
2024-10-18	2024-10-11	GDV.M	Gabelli Dividend & Income Trust	Gabelli Mario J	Control Person of Adviser, 10%	P - Purchase	10	8411500	8,411,500	New	+$84,115,000	84115000	19:45:12	7																																																																																																																																																																																																																																																					
2024-10-18	2024-10-16	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	6.74	280523	4,043,044	+7%	+$1,891,701	1890725.02	18:19:31	2																																																																																																																																																																																																																																																					
2024-10-15	2024-10-10	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	6.73	816424	3,762,521	+28%	+$5,495,125	5494533.52	18:11:16	5																																																																																																																																																																																																																																																					
2024-10-15	2024-10-11	GDV.M	Gabelli Dividend & Income Trust	Gabelli Mario J	Control Person of Adviser	P - Purchase	10	5621500	5,621,500	New	+$56,215,000	56215000	17:33:44	4																																																																																																																																																																																																																																																					
2024-10-09	2024-10-07	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	6.75	183576	2,946,097	+7%	+$1,238,322	1239138	18:13:26	2																																																																																																																																																																																																																																																					
2024-10-04	2024-10-02	OCX	Oncocyte Corp	Broadwood Partners, L.P.	10%	P - Purchase	2.95	1315339	12,488,967	+12%	+$3,877,619	3880250.05	19:00:42	2																																																																																																																																																																																																																																																					
