X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
DM	2026-05-01 09:45:51	2024-12-31	TXTM	Protext Mobility, Inc.	Jamaloodeen Ahmed	COB, Pres, 10%	P - Purchase	$0.00	+142,249,236	254,849,236	+126%	+$0				
M	2026-04-09 16:18:29	2024-05-30	MMM	3M Co	Goralski Christian T Jr	Group Pres	P - Purchase	$107.18	+17	6,971	0%	+$1,822				
M	2026-03-10 15:48:58	2024-06-14	DHIL	Diamond Hill Investment Group Inc	Thomas L'Quentus	Dir	P - Purchase	$151.57	+81	2,615	+3%	+$12,206				
M	2026-03-09 08:58:52	2024-11-20	WT	Wisdomtree, Inc.	Pankopf Tonia L	Dir	P - Purchase	$11.80	+277	34,962	+1%	+$3,268				
M	2026-02-25 18:56:03	2024-11-01	XSPIX	Stepstone Private Venture & Growth Fund	Borton Brian	Portfolio Manager	P - Purchase	$52.86	+11,351	12,377	>999%	+$600,000				
A	2026-02-10 19:09:12	2024-04-25	GL	Globe Life Inc.	Blinn Mark A	Dir	P - Purchase	$76.77	+2,000	6,518	+44%	+$153,540				
	2026-02-09 17:00:05	2024-11-18	CXM	Sprinklr, Inc.	Read Rory P	Pres, CEO	P - Purchase	$7.60	+20	1,506,270	0%	+$152				
M	2026-02-02 19:37:50	2024-12-30	AIG	American International Group, Inc.	Walsh Keith	EVP, CFO	P - Purchase	$81.01	+27	38,259	0%	+$2,207				
M	2026-01-16 16:38:39	2024-10-18	PETV	Petvivo Holdings, Inc.	A.L. Sarroff Fund, LLC	10%	P - Purchase	$0.50	+154,840	7,740,579	+2%	+$77,999				
DM	2026-01-16 16:38:14	2024-04-05	PETV	Petvivo Holdings, Inc.	A.L. Sarroff Fund, LLC	10%	P - Purchase	$0.68	+718,358	11,962,429	+6%	+$485,355				
M	2025-11-26 21:55:32	2024-02-01	ONMD	Onemednet Corp	Yu Jeffrey	Chief Medical Officer	P - Purchase	$0.94	+9,540	4,075,165	0%	+$8,929				
M	2025-11-26 21:54:45	2024-02-16	ONMD	Onemednet Corp	Casaburi Eric	Dir	P - Purchase	$1.92	+20,475	110,475	+23%	+$39,262				
M	2025-10-14 19:08:15	2024-09-09	CVS	Cvs Health Corp	Capozzi Heidi B	EVP, Chief People Officer	P - Purchase	$57.36	+80	85	>999%	+$4,589				
M	2025-10-09 15:37:06	2024-09-13	ZBIO	Zenas Biopharma, Inc.	Lu Hongbo	Dir	P - Purchase	$18.63	+321,983	321,983	New	+$6,000,031				
D	2025-09-30 21:47:55	2024-12-13	KLG	Wk Kellogg Co	Brown Bruce Alan	Chief Customer Officer	P - Purchase	$21.36	+48	0	-100%	+$1,024				
D	2025-09-30 19:56:59	2024-05-17	AGRI	Agriforce Growing Systems Ltd.	Welch David Ryan	Dir	P - Purchase	$129.42	+11	97,421	0%	+$1,424				
M	2025-09-02 20:30:25	2024-08-27	FOA	Finance of America Companies Inc.	Cooperman Leon G	10%	P - Purchase	$16.10	+242,297	12,350	-105%	+$3,900,891				
M	2025-08-28 08:33:56	2024-11-27	WLKP	Westlake Chemical Partners LP	Gilson Jean-Marc	Pres, CEO	P - Purchase	$21.93	+7,461	11,708	+176%	+$163,637				
A	2025-08-28 08:33:42	2024-08-28	WLKP	Westlake Chemical Partners LP	Gilson Jean-Marc	Pres, CEO	P - Purchase	$22.95	+320	3,427	+10%	+$7,344				
DM	2025-08-22 16:54:32	2024-12-12	CNFR	Conifer Holdings, Inc.	Hakala Jeffrey Anthony	Dir, 10%	P - Purchase	$75.86	+101,500	3,736,269	+3%	+$7,700,000				
DM	2025-08-22 16:37:49	2024-12-12	CNFR	Conifer Holdings, Inc.	Hakala Gerald W	10%	P - Purchase	$75.86	+101,500	3,736,269	+3%	+$7,700,000				
	2025-08-22 16:22:25	2024-12-12	CNFR	Conifer Holdings, Inc.	Clarkston Ventures, LLC	10%	P - Purchase	$2.00	+100,000	3,735,769	+3%	+$200,000				
AD	2025-08-19 15:29:29	2024-08-29	VPLM	Voip-Pal.Com Inc	McDonald Austin	Dir	P - Purchase	$0.01	+30,000	6,613,717	0%	+$285				
	2025-08-13 17:01:30	2024-11-20	TRUL	Trulieve Cannabis Corp.	Thronson Susan	Dir	P - Purchase	$6.30	+3,968	50,845	+8%	+$24,998				
	2025-08-13 16:54:33	2024-11-21	TRUL	Trulieve Cannabis Corp.	May Richard S.	Dir	P - Purchase	$6.05	+1,610	570,096	0%	+$9,741				
M	2025-07-29 20:38:03	2024-12-31	MTH	Meritage Homes Corp	Arriola Dennis V	Dir	P - Purchase	$70.07	+2,220	12,712	+21%	+$155,544				
	2025-07-01 17:09:24	2024-02-07	HLT	Hilton Worldwide Holdings Inc.	Mabus Raymond E	Dir	P - Purchase	$197.39	+53	14,456	0%	+$10,462				
A	2025-06-26 19:26:12	2024-06-28	CRCW	Crypto Co	Levy Ron	CEO, COO, 10%	P - Purchase	$0.00	+500,000,000	532,815,000	>999%	+$0				
AD	2025-06-25 17:04:40	2024-01-02	ATLN	Atlantic International Corp.	Jagid Jeffrey M	CEO	P - Purchase	$0.00	+2,885,856	3,735,169	+340%	+$289				
M	2025-06-25 16:38:01	2024-10-24	SSGC	Safespace Global Corp	Hillis Dustin Michael	Pres, Chief Strat Officer	P - Purchase	$0.11	+6,032,000	7,132,000	+548%	+$635,680				
D	2025-06-18 19:41:48	2024-11-21	CBNK	Capital Bancorp Inc	Barry Edward F	CEO	P - Purchase	$27.78	+1,204	369,897	0%	+$33,447				
AM	2025-06-18 16:32:46	2024-05-13	TRDA	Entrada Therapeutics, Inc.	Kim Peter S	Dir	P - Purchase	$14.63	+50,000	117,412	+74%	+$731,683				
