Insider.Name	role_group	win_rate_pct	n_trades
Gate City Capital Management, LLC	10%	0	1
Berkshire Hathaway Inc	10%	58.3333333333333	12
George W Whitney	10%	0	1
Ecor1 Capital, LLC	10%	80	5
Chang Nancy T	10%	100	1
Baker Bros. Advisors LP	10%	50	2
Childs John W	others	75	4
Coliseum Capital Management, LLC	10%	0	5
Control Empresarial De Capitales S.A. De C.V.	10%	19.1489361702128	47
Monroe James III	10%	80	10
Barry John F	10%	0	15
Redmile Group, LLC	10%	33.3333333333333	3
Icahn Carl C	10%	100	8
Schlanger David J	chair	100	1
Anevski Peter	ceo	100	1
Chan Heng Fai Ambrose	10%	100	4
Suvretta Capital Management, LLC	10%	0	1
English Aron R.	10%	50	2
Rakolta John Jr	others	50	2
Rozek Alexander Buffett	others	0	2
Gilead Sciences, Inc.	10%	100	2
Mott David M	others	100	2
Springer Timothy A	10%	60	5
New Enterprise Associates 16, L.P.	10%	0	1
Biglari, Sardar	10%	85.7142857142857	7
Greco Thomas	others	100	1
Hutton Keith A	10%	50	2
Sheehan Kevin M	ceo	100	2
Klinsky Steven B	others	0	9
Silver Lake West Holdco, L.P.	10%	100	2
Whitesell Patrick	10%	100	2
Emanuel Ariel	10%	100	2
Broadwood Partners, L.P.	10%	0	1
Graham G. Walmsley	others	0	2
Walker R A	others	0	1
Tannenbaum Leonard M	10%	25	4
Manning Paul B	others	100	2
Courtis Kenneth S.	others	0	2
Duggan Robert W	10%	50	2
Coughlin Christopher J	others	100	1
West Steven E	others	100	1
Rosenthal Saul B	others	0	2
Cohen Jonathan H	ceo	0	2
Sachs David A	others	0	3
Cohn Charles K.	10%	40	15
Schuppenhauer Eric	others	0	1
Kneen Quintin	ceo	100	1
Robotti Robert	others	100	1
Fitterling James R	chair	0	1
Baldwin Robert H B Jr	others	0	1
McKenna Mark C.	others	0	1
Stellantis N.V.	10%	66.6666666666667	3
Stone House Capital Management, LLC	10%	0	1
Dorchester Minerals Operating LP	others	0	1
Macdowell Jack Lee Jr	others	0	2
Pace Gary W	others	100	1
Palantir Technologies Inc.	10%	100	2
Frost Phillip Md Et Al	10%	0	1
Donegal Mutual Insurance Co	10%	16.6666666666667	6
Tang Kevin	others	100	1
Weaver Delores B	10%	0	1
Schroeder Thilo	others	0	1
Weaver Wayne J	10%	0	1
Lebda Douglas R	10%	0	1
Gubin Moishe	ceo	100	1
Fernandez Henry A	chair	0	1
Gramm Jefferson	10%	0	1
Parent Kenneth M.	others	0	1
Campbell Jeffrey C	others	0	1
Moulder Leon O Jr	ceo	0	1
Jcp Investment Management, LLC	10%	0	1
Stone John H	ceo	0	2
Paddick Brendan J	others	25	4
Eliasek M Grier	others	0	2
Samsara Biocapital Gp, LLC	10%	0	1
Rogers William H Jr	chair	0	2
Wilks Matthew	chair	0	1
Daily Gregory S	10%	0	1
McMinn Rachel	ceo	100	1
Siegall Clay B	ceo	100	1
Angelakis Michael J	others	100	1
Thrive Partners VII Growth Gp, LLC	10%	100	3
Kushner Joshua	10%	100	3
Kayyem Jon Faiz	others	33.3333333333333	3
Encrantz Staffan	10%	0	1
Global Gp LLC	others	55.5555555555556	9
Ann S. Gerdin Revocable Trust	10%	0	1
Limon Zvi	others	100	1
Mehra Anand	others	0	1
O'Brien Patrick D.	others	0	1
Fribourg Paul J	others	100	3
Jenkins Mark David	others	100	1
Marotta John	ceo	100	1
Laukien Frank H	10%	100	1
Niehaus Robert H	others	100	1
Stadium Capital Management LLC	10%	50	4
Ragatz Erik D.	others	100	1
Khan Imran	others	100	1
Steinberg David	10%	100	1
Bajwa Harjinder	others	100	1
Sakellaris George P	10%	0	1
Einhorn David	10%	0	1
Katz Avi S	chair	100	1
Corley Jesse Anderson	others	0	1
Basswood Capital Management, L.L.C.	others	0	1
Ergen Charles W	10%	100	1
Fagnan Jeff	10%	0	1
Angelidis-Smith Maria	others	100	1
Asher Andrew Lynn	others	0	1
Kraemer Harry M Jansen Jr	others	100	1
Ra Capital Management, L.P.	10%	0	3
Avery More	chair	0	1
Williams Gregg	10%	0	1
Schorsch Nicholas S	10%	0	2
Rothe Christian E	others	0	1
Reeves Robert K	others	0	1
Zeiler Gerhard	others	100	1
Topline Capital Partners, LP	10%	50	4
Apmh Invest A/S	10%	0	4
Reed Colin V	chair	50	2
Gerdin Michael J	10%	0	3
Turtle Creek Asset Management Inc.	10%	0	1
Moreno Arturo R	10%	50	2
Cormorant Asset Management, LP	10%	75	4
Galtney William F Jr	others	0	1
Valles Noe G	others	0	2
Heerema International Group Services Sa	10%	0	1
Talwalkar Abhijit Y	others	0	1
De Soto Matthew G	others	0	1
Wilson David J.	ceo	100	1
Shepard Gregory M	10%	100	4
